spider (8.21 15:31:35 ): spider start.
spider (8.21 15:31:36 ): db create.
spider (8.21 15:37:11 ): 166849022, data insert.
spider (8.21 15:37:12 ): 166848977, data insert.
spider (8.21 15:37:13 ): 166849703, data insert.
spider (8.21 15:37:13 ): 166849911, data insert.
spider (8.21 15:37:14 ): 166849253, data insert.
spider (8.21 15:37:15 ): 166849740, data insert.
spider (8.21 15:37:15 ): 166849401, data insert.
spider (8.21 15:37:16 ): 166847942, data insert.
spider (8.21 15:37:17 ): 166847893, data insert.
spider (8.21 15:37:17 ): 166848455, data insert.
spider (8.21 15:37:18 ): 166848145, data insert.
spider (8.21 15:37:19 ): 166848942, data insert.
spider (8.21 15:37:19 ): 166847907, data insert.
spider (8.21 15:37:20 ): 166848872, data insert.
spider (8.21 15:37:21 ): 166847910, data insert.
spider (8.21 15:37:21 ): 166848548, data insert.
spider (8.21 15:37:22 ): 166848627, data insert.
spider (8.21 15:37:23 ): 166847961, data insert.
spider (8.21 15:37:23 ): 166848400, data insert.
spider (8.21 15:37:24 ): 166848908, data insert.
spider (8.21 15:37:24 ): 166848232, data insert.
spider (8.21 15:37:25 ): 166848768, data insert.
spider (8.21 15:37:26 ): 166848322, data insert.
spider (8.21 15:37:26 ): 166848222, data insert.
spider (8.21 15:37:27 ): 166848482, data insert.
spider (8.21 15:37:28 ): 166847929, data insert.
spider (8.21 15:37:28 ): 166848558, data insert.
spider (8.21 15:37:29 ): 166848071, data insert.
spider (8.21 15:37:29 ): 166848446, data insert.
spider (8.21 15:37:30 ): 166847260, data insert.
spider (8.21 15:37:31 ): 166846741, data insert.
spider (8.21 15:37:31 ): 166847409, data insert.
spider (8.21 15:37:32 ): 166847117, data insert.
spider (8.21 15:37:33 ): 166847162, data insert.
spider (8.21 15:37:33 ): 166847545, data insert.
spider (8.21 15:37:34 ): 166846871, data insert.
spider (8.21 15:37:34 ): 166847168, data insert.
spider (8.21 15:37:35 ): 166846870, data insert.
spider (8.21 15:37:36 ): 166847498, data insert.
spider (8.21 15:37:36 ): 166847335, data insert.
spider (8.21 15:37:37 ): 166847195, data insert.
spider (8.21 15:37:38 ): 166847720, data insert.
spider (8.21 15:37:38 ): 166847758, data insert.
spider (8.21 15:37:39 ): 166847337, data insert.
spider (8.21 15:37:40 ): 166847834, data insert.
spider (8.21 15:37:41 ): 166846805, data insert.
spider (8.21 15:37:41 ): 166846735, data insert.
spider (8.21 15:37:42 ): 166847604, data insert.
spider (8.21 15:37:43 ): 166847706, data insert.
spider (8.21 15:37:43 ): 166847481, data insert.
spider (8.21 15:37:44 ): 166847835, data insert.
spider (8.21 15:37:44 ): 166845312, data insert.
spider (8.21 15:37:45 ): 166845607, data insert.
spider (8.21 15:37:46 ): 166845353, data insert.
