name,salary,demand,job_des,location
区块链工程师,20000-35000元,北京3-5年本科,职位描述：岗位职责：1、以区块链为主的前沿技术跟踪研究2、需求调研、需求分析，依据需求协助提出解决方案3、协助系统概设与详设，撰写开发文档4、智能合约编码，相关业务接口编码岗位要求：1、计算机或计算机相关专业，本科以上学历；2、3年以上工作经验，扎实的编程基础，比较强的学习能力。3、理解区块链原理，精通golang、C++中至少一种语言，同时具备python、solidity语言经验者优先；4、熟悉常用的数据结构和算法思想，解决问题能力强; ·掌握服务器端开发技术；5、熟练使用Linux、MySQL、Redis等技术； 6、熟悉安全体系者优先（包含终端安全、网络安全、内存安全、存储安全、密钥管理安全、开发流程安全和用户行为安全等）;7、写过以太坊，EOS合约者优先；,北京市 朝阳区 望京西园二区 220号  触控科技
区块链研发工程师,40000-70000元,北京3-5年本科,1. 调研基于区块链的存储，分布式架构。2. 开发基于区块链架构的去中心化应用，包括聊天，信息流等。3. 有较扎实的分布式开发经验，熟悉btc架构，以太坊架构 并有相关开发经验的更好。我们做严肃的区块链应用开发，详细业务场景感兴趣可以进一步交流。,北京朝阳区冠捷大厦(太阳宫中路) 5层
区块链研发工程师,80000-110000元,北京经验不限本科,职位描述1. 调研基于区块链的存储，分布式架构。2. 开发基于区块链架构的去中心化应用，包括聊天，信息流等。3. 有较扎实的分布式开发经验，熟悉btc架构，以太坊架构 并有相关开发经验的更好。团队介绍1.有过6年甲方HR经验，熟悉甲方招聘流程，能迅速挖掘甲方公司的用人需求；2.有着丰富的甲方面试招聘经验，能精准抓住候选人的核心竞争力，给予候选人职业上的建议。,北京市 朝阳区 太阳宫 冠捷大厦
区块链工程师,15000-25000元,深圳1-3年大专,岗位职责：1.负责基于区块链技术公有链、联盟链、私有链的设计与核心代码开发2.持续跟进区块链技术在数字货币、智能合约、数字资产交易、支付等方向技术的研究3.积极探索区块链技术在金融等方向新的落地场景，为公司业务发展提供持续支撑任职要求：1.掌握Bitcoin，Ethereum，HyperLedger、EOS等主流区块链技术相关机制原理与去中心化思想；2.熟练掌握Go，Java，C++等主流区块链系统开发语言至少一种，Go优先，参与过区块链开发社区并贡献源码者优先；3.熟练掌握加密算法、共识算法、控制论、博弈论、网络安全、分布式计算。 4.了解主流NoSQL数据库的原理使用，尤其是KV型数据库，包括不限于LevelDB，RocksDB等；5.熟悉Linux操作系统，熟练掌握Docker容器技术的原理，部署和使用优化；,深圳市 南山区 东方科技大厦 23楼2306
区块链研发,15000-30000元,北京3-5年本科,岗位职责：1. 区块链技术调研：虚拟机/密码学/分布式系统/信息安全等2. 区块链资产的主链对接、节点维护与测试3. 主链数据服务研发4. 主链/公链/联盟链研发任职资格：1. 计算机相关专业如信息安全/通讯工程/分布式系统/数据科学等2. 或者数学/金融工程/统计/应用物理专业3. 熟悉至少一门编程语言或mysql/oracle 等常规数据库技术,北京市 朝阳区 环球金融中心 西塔1308
区块链产品运营经理,18000-30000元,深圳3-5年本科,岗位职责：1、 研究和了解区块链业务发展动向，参与腾讯可信区块链平台的社区建设和运营（公众号、群、开源社区）、公司内部合作对接、召开开发者合作大会等2、 关注开发者的诉求，运营与维护区块链开发者的社群3、 关注和了解区块链与各行业结合的结合点任职要求：1、 三年以上互联网产品运营（有组织过大型线下活动的更优）相关工作经历2、责任心强，积极主动，善于沟通，具有团队精神3、有长期投身区块链应用的热情和兴趣，愿意学习了解区块链的基础知识4、有理工科背景或者熟悉Ethereum、Hyperledge等相关开源项目社区参与经验的的更优。,深圳南山区腾讯大厦
区块链工程师,20000-40000元,北京经验不限本科,岗位职责1. 负责区块链底层产品的设计、研发工作；2. 负责区块链应用层产品的设计、研发工作；3. 研究底区块链底层协议及实现，参与优化重构。职位要求1. 精通C/C++，python或go开发，数学或计算机相关专业，应届生亦可；2. 熟悉基于Git的团队合作开发模式；3. 在网络编程、密码学、分布式一致性算法或数据库中任一方向有一定开发经验；4. 具有技术钻研精神，追求质量，具有较强自驱学习能力；5. 了解过一些区块链底层实现或有一定区块链开发经验者优先；6. 有自己的开源项目或者作为核心成员参与过其它开源项目者优先；7. 参与过大型分布式/服务器系统的架构和开发，并在项目中起核心作用者优先。,北京市朝阳区大望京科技商务园区宏泰东街浦项中心 B 座 20 层
区块链研发工程师,30000-60000元,北京3-5年本科,1. 调研基于区块链的存储，分布式架构。2. 开发基于区块链架构的去中心化应用，包括聊天，信息流等。3. 有较扎实的分布式开发经验，熟悉btc架构，以太坊架构 并有相关开发经验的更好。我们做严肃的区块链应用开发，详细业务场景感兴趣可以进一步交流。,北京朝阳区冠捷大厦(太阳宫中路)302
区块链工程师,15000-25000元,成都3-5年大专,岗位职责：1、负责Blockchain底层相关模块的设计和开发；2、基于区块链的底层架构，能实现公链、联盟链及多币种逻辑，供应用层调度使用；3、负责交易所平台中数字货币钱包技术架构和功能开发，支持包括BTC，以太坊ERC20代币在内的各类型主流数字资产的安全存储和转账等功能。4、编写相关技术文档，负责钱包各类接口开发，部署运维和优化.岗位职责：1、大专以上学历，计算机、金融相关专业2、3年以上互联网产品开发经验3、熟练掌握java，Python ，c++，GO等一种及以上开发语言4、了解分布式存储，共识机制，安全及密码学相关技术原理，熟悉区块链底层技术架构，能实现公链/私链数字资产的跨链转移。5、熟悉验证授权机制，多重防火墙机制等各类安全机制者优先6、有数字货币钱包开发及使用经验者优先7、能够实现主流数字货币基于私钥明文离线签名优先,成都市 武侯区 棕榈泉国际中心
区块链产品经理,15000-30000元,北京3-5年本科,岗位描述：1. 负责区块链产品的功能规划和设计；2. 通过业务数据分析、产品反馈收集，识别客户在使用过程中的困难与挑战，推进产品和技术不断的优化和改进；3. 协调并驱动开发、运维、用户/创作者运营等多个团队共同完成产品业务目标；4. 分析行业发展趋势，挖掘新的需求和应用场景。岗位要求：1. 需要较强的逻辑分析，需求分析能力，能够协同团队推动业务的发展；2. 本科以上学历，有三年及其以上产品经理经历；3. 了解区块链协议、加密技术、共识算法、智能合约等基础知识尤佳；4. 较强的文档编写能力，语言组织能力；5. 较强的创新能力、沟通能力、抗压能力，有团队合作精神；6. 有技术背景优先。,北京市朝阳区姚家园南路1号惠通时代广场8号楼
